word,vowel,token,type,repetition,freq_f1,amp_f1,width_f1,freq_f2,amp_f2,width_f2,freq_f3,amp_f3,width_f3,freq_h1,amp_h1,freq_h2,amp_h2,amp_h3,amp_p0,freq_p0,p0_id,p0prominence,a1p0_h1,a1p0_h2,a1p0_h3,a1p0,a1p0_compensated,freq_p1,amp_p1,a1p1,a1p1_compensated,a3p0,vwl_amp_rms,vwl_duration,timepoint,point_time,point_vwlpct,attempted_fix,status,errorflag,nasal,oral,nasalance,murmur,cog,mfcc01,mfcc02,mfcc03,mfcc04,mfcc05,mfcc06,mfcc07,mfcc08,mfcc09,mfcc10,mfcc11,mfcc12,mfcc13
band,ae,180,nd,9,431,36.64,261,1913,16.29,364,2671,11.08,351,108,42.98,215,39.57,36.78,42.98,108,H1,3.4,-6.34,-2.93,-0.13542,-6.34,-4.29726,861,21.06,15.58,17.32768,-31.89887,0.0320089788,214,10,328.74666,100,None,Auto,None,71.9939409512812,66.2535292987145,0.520761362367739,1.06540140485395,421.859457126249,598.147396136017,1.27907806248918,50.4929817887755,62.0871373407818,-9.61848983736323,-20.8076140055192,-42.33022198043,-36.2485347134763,7.40550029300906,32.7446822194975,13.5056931889314,-3.87678152015962,-6.05592051554639
meme,i,181,nasal,10,323,39.73,154,2132,7.51,1320,2576,11.21,233,108,42.15,215,39.39,39.73,42.15,108,H1,2.76,-2.42,0.34,0.00195,-2.42,-0.34933,969,16.42,23.31,24.69819,-30.93671,0.0423729778,147,1,330.337712,0,None,Auto,None,72.5336564487486,65.4435033669292,0.525693212888608,1.07356038672005,263.17403091199,589.791175468871,64.8772290517848,88.3372259246018,128.594002420201,16.5061614425366,-87.7106889002732,-88.9387942531907,27.0241427572636,59.9265075659361,0.171556165115189,-32.6095559802115,-49.5741032241123,-29.8305215829691
meme,i,181,nasal,10,323,40.37,145,676,23.5,888,2579,12.6,97,108,43.01,215,40.13,40.37,43.01,108,H1,2.88,-2.64,0.24,0.00029,-2.64,-0.55301,861,16.18,24.19,25.27836,-30.40783,0.0423729778,147,2,330.354053,11.11,None,Auto,None,72.3487362344345,65.7365434949951,0.523942424393084,1.06757405777292,394.30823614002,536.320918205276,67.0030177083074,155.861711022733,121.220623832789,-21.9238445898505,-89.2621589483371,-82.9745244724466,54.1396138422629,47.9924391676555,-45.1255163586217,-29.5102366425291,-49.5437168589119,2.22283150412919
meme,i,181,nasal,10,323,40.41,170,446,40.41,1393,2582,14.52,114,108,43.33,215,40.52,40.41,43.33,108,H1,2.82,-2.92,-0.11,-0.00396,-2.92,-0.85841,883,16.49,23.92,24.73334,-28.80621,0.0423729778,147,3,330.370394,22.22,None,Auto,None,73.0451612512115,65.7797314770184,0.526167604495889,1.06598717552933,199.561038159584,538.210918419057,53.4045696779319,185.562515300318,109.329632799276,-35.4459751442155,-83.461615075609,-60.7558344384736,59.9847923030337,52.0866439152014,-20.3366875140989,-36.5388847112066,-40.4053111430661,13.4939071925079
meme,i,181,nasal,10,345,42.26,100,864,18.72,393,2589,13.93,60,108,43.48,237,40.97,42.26,43.48,108,H1,2.51,-1.22,1.29,-0.00149,-1.22,0.89992,904,18.72,23.54,25.90694,-29.54926,0.0423729778,147,4,330.386736,33.33,None,Auto,None,73.677125132628,65.7263775398304,0.528517029487697,1.05812779356283,153.725855312151,534.670638818222,62.5421549200603,171.85113425751,115.666538569965,-39.5522815539156,-66.2676957736206,-47.0599462314765,37.6334539910374,52.3150751666072,-29.774291453493,-43.4753987254376,-41.4250660352997,0.545894369119089
meme,i,181,nasal,10,345,42.66,80,856,19.15,367,2589,14.04,60,108,43.44,237,41.92,42.66,43.44,108,H1,1.51,-0.78,0.74,0.00096,-0.78,1.34961,926,17.08,25.58,27.90747,-29.39928,0.0423729778,147,5,330.403077,44.44,None,Auto,None,74.1384522824458,65.6002567785674,0.530550573857636,1.05122819465547,398.208586336509,545.059455258161,46.4869706983125,176.744205786555,101.714736350436,-39.5385884518093,-77.9675847951338,-56.1675626110582,52.5225379609349,42.3216616380453,-39.6374642610882,-39.4892699651079,-61.6056381329445,3.58875335478878
meme,i,181,nasal,10,345,43.34,73,873,20.13,297,2587,14.03,62,108,43.45,237,42.72,43.34,43.45,108,H1,0.73,-0.11,0.62,-0.00143,-0.11,2.01793,947,18.52,24.82,27.55236,-29.41957,0.0423729778,147,6,330.419418,55.56,None,Auto,None,74.5064525667798,65.588847462211,0.531826924610331,1.04460381610123,122.951653322259,545.188506257883,66.5956864834887,169.27174709261,94.3578386174866,-33.6223007438537,-52.7038038151455,-50.6511738236973,46.5882568133932,31.1477376623939,-29.174069988273,-35.4825998063636,-35.0085950726169,-0.496556525594612
meme,i,181,nasal,10,366,42.64,65,882,19.39,267,2624,12.51,67,129,43.38,237,42.5,42.64,43.38,129,H1,0.88,-0.74,0.14,0.00375,-0.74,1.46155,947,18.42,24.22,27.26888,-30.86811,0.0423729778,147,7,330.435759,66.67,None,Auto,None,74.5050839122878,65.3838122806295,0.532601842890659,1.0461259663323,360.11041904107,541.096020465246,46.7352994527205,183.555679775865,99.4321939949421,-57.9014184703319,-53.8164412647703,-39.9388194165759,37.0933807976445,39.5825439303857,-35.2921238279868,-44.0461939614155,-56.186416936717,5.18457347830958
meme,i,181,nasal,10,366,42.61,91,849,19.54,401,2646,13.39,78,129,43.57,237,42.21,42.61,43.57,129,H1,1.36,-0.96,0.4,0.00251,-0.96,1.22703,947,16.73,25.88,27.90617,-30.17696,0.0423729778,147,8,330.4521,77.78,None,Auto,None,74.3966486455637,65.4518613545091,0.531980273837204,1.04448924097768,333.649516420349,548.797689732943,43.2468080114902,174.667817174401,105.782020433361,-55.8825262705362,-70.3316052259403,-28.0037588995176,39.0975150361339,35.6706677032095,-38.4455259198341,-60.8137719562127,-31.7885363185069,7.86943621743419
meme,i,181,nasal,10,366,42.97,112,943,20.82,490,2675,12.65,121,129,43.38,237,42.16,42.97,43.38,129,H1,1.23,-0.41,0.81,-0.00212,-0.41,1.7504,861,18.86,24.11,26.32655,-30.73143,0.0423729778,147,9,330.468441,88.89,None,Auto,None,74.1134612904754,65.8294820817163,0.529597702496249,1.04049444632348,157.231963131438,539.876605027508,65.0931651171763,161.424906139365,106.55040044209,-33.3840753822533,-68.5748826603302,-52.5466648429012,50.3006735931097,36.7018764023225,-29.6650454107264,-41.042285882949,-41.8011670432873,12.2104347288093
